Latitude,Longitude,Grain yield (kg/ha@12.5%)
-3.4698,37.4227,16357.55035
-7.6927,31.1134,15401.19488
-9.1717,32.7324,15298.62025
-3.2398,37.1410,15014.11068
-3.1893,37.0759,14842.48157
-10.5451,35.3410,14383.38462
-3.4455,37.4045,13601.99703
-3.3626,35.6139,12149.30766
-9.2903,34.6386,11130.71037
-10.5454,35.3411,11020.7954
-7.6929,31.1139,10581.69282
-10.5437,35.3430,10426.9811
-9.4065,34.8083,10407.06667
-9.1691,32.7365,10371.5625
-10.5713,35.3947,10120.40556
-9.1692,32.7373,10020.26667
-9.1717,32.7326,9742.725926
-3.1910,37.0768,9615.60284
-10.5686,35.3967,9601.565657
-3.1894,37.0759,9496.640857
-8.2786,35.0404,9418.615914
-8.2774,35.0513,9350.399702
-10.5749,35.3845,9315.233309
-7.7688,31.1364,9280.596543
-9.1693,32.7137,9142.058147
-9.4039,34.8069,9019.92
-3.3839,36.9376,9015.272848
-9.2956,34.6381,8947.247186
-3.2489,37.1170,8946.034672
-9.2033,32.7381,8862.498725
-3.2490,37.1177,8827.448048
-4.4545,35.5055,8745.247212
-9.2020,32.7361,8687.29875
-10.5545,35.3407,8681.747465
-10.5432,35.3554,8663.504348
-3.3820,36.3191,8658.638245
-10.5542,35.3402,8632.901471
-9.1974,32.7326,8603.494792
-3.3606,36.3216,8486.940042
-9.3927,34.7703,8446.585714
-10.5435,35.3552,8433.671004
-10.5739,35.3849,8430.760474
-10.5743,35.3829,8390.155046
-9.3944,34.7702,8378.238547
-10.5699,35.3849,8367.236939
-10.5686,35.3968,8354.828395
-3.3605,36.3226,8273.585828
-10.5712,35.3915,8185.620321
-3.8447,35.4497,8154.463291
-8.2716,35.0483,8153.001155
-8.5246,32.0313,8030.88
-8.5555,32.0522,7954.88925
-3.3613,36.3222,7914.194459
-8.5548,32.0516,7895.969231
-8.5602,32.0502,7875.063
-8.5551,32.0519,7873.234306
-9.2016,32.7352,7830.819362
-10.5544,35.3405,7810.194105
-7.7276,31.0978,7789.290104
-4.2073,35.5599,7769.042381
-3.2338,37.0822,7743.588855
-8.5244,32.0318,7733.401714
-10.5712,35.3930,7705.982906
-9.2040,32.7378,7655.10735
-9.3952,34.7713,7652.21875
-10.5456,35.3417,7616.85
-9.1716,32.7329,7584.885058
-10.4450,36.1741,7474.133333
-4.2051,35.5599,7459.890252
-9.2907,34.6378,7457.06
-8.5597,32.0506,7454.399794
-8.2728,35.0467,7417.317892
-10.5763,35.3963,7411.376147
-8.2944,35.0163,7381.629871
-3.3225,35.7155,7355.841514
-9.2682,34.6016,7325.349451
-9.2906,34.6385,7316.640442
-9.2908,34.6359,7313.595109
-10.4453,36.1742,7307.33517
-4.2544,35.7058,7275.888025
-3.3788,36.9374,7166.487444
-8.5695,32.0211,7100.1775
