Latitude,Longitude,Grain yield (kg/ha@12.5%)
-4.4512,35.5050,1594.674159
-7.6117,35.9565,1587.466086
-4.4755,35.5473,1582.873802
-4.3960,35.5504,1582.75292
-3.3560,36.3249,1579.617707
-7.4593,35.7718,1574.140263
-3.2386,37.1432,1573.580591
-7.6152,35.9544,1571.505891
-3.4463,36.9139,1563.168479
-7.6223,35.9768,1544.380126
-3.3188,35.7162,1540.767105
-8.2779,35.0509,1537.165723
-9.1771,32.7013,1516.4
-3.4634,36.8574,1507.529602
-8.2961,35.0211,1505.962936
-3.3491,36.3542,1493.745887
-7.7224,31.0918,1491.2625
-3.4478,36.9138,1486.769534
-10.5696,35.3919,1485
-3.3572,36.3252,1481.770225
-3.1913,37.0775,1478.692928
-7.4662,35.7790,1469.840172
-3.4403,35.6299,1468.568645
-7.7274,31.0974,1465.7625
-3.4407,35.6295,1456.864962
-3.4098,35.5983,1456.474218
-3.4456,36.9119,1431.887251
-8.3452,35.0575,1421.846521
-3.4320,35.6355,1408.616764
-3.4082,35.5936,1406.526687
-3.4442,37.4030,1403.042634
-8.3450,35.0581,1398.671012
-3.7769,37.6177,1389.093496
-3.7706,35.4865,1388.23217
-7.4577,35.7770,1381.570594
-8.2707,35.0464,1372.526618
-7.4595,35.7725,1367.322451
-9.1981,32.7334,1365
-3.4461,36.9123,1346.863138
-7.4574,35.7759,1338.498948
-3.3508,36.3553,1334.833254
-3.3842,36.3209,1334.732373
-3.4498,36.9149,1328.676962
-3.2390,37.1394,1326.192706
-7.4892,35.7574,1325.638007
-3.2324,37.0830,1323.026411
-9.1733,32.7071,1322.350357
-3.7769,37.6178,1321.103398
-9.1724,32.7316,1317.130214
-7.6926,35.9857,1311.466276
-3.4568,36.8498,1309.184516
-9.1725,32.7313,1292.001015
-8.5694,32.0214,1288.339394
-4.2032,35.5631,1286.839908
-3.3579,36.3254,1283.562433
-10.4086,36.1432,1281.378446
-7.6144,35.9533,1274.132558
-4.4720,35.5511,1264.819875
-7.7283,31.0906,1249.275362
-3.2386,37.1430,1244.10632
-3.4499,36.9154,1238.008007
-8.8525,32.9638,1219.75
-7.6069,35.9805,1216.372078
-8.5558,32.0525,1211.642763
-3.4353,35.6335,1207.377196
-7.6150,35.9542,1200.011633
-7.6099,35.9796,1199.941421
-3.2264,37.0448,1193.730722
-4.3980,35.5478,1183.854334
-3.2387,37.1433,1177.69691
-3.3792,36.3207,1170.191994
-7.4631,35.7750,1169.662665
-7.4888,35.7576,1168.408112
-3.4032,35.5987,1167.223132
-7.4866,35.7513,1144.566388
-8.5556,32.0504,1137.6
-3.3197,35.7176,1133.651518
-3.8459,35.4491,1132.73112
-3.3823,36.3210,1118.741209
-7.6930,31.1174,1118
-8.2925,35.0161,1112.796339
-7.4867,35.7508,1107.682561
-3.3844,36.3205,1101.498202
-3.1916,37.0774,1092.510267
-8.2726,35.0466,1084.263257
-7.4866,35.7518,1079.180009
-4.4710,35.5448,1060.424158
 , ,1051.802774
-3.4747,37.4254,1044.421422
-3.3803,36.3180,1037.884836
-3.7770,37.6176,1037.526002
-10.4447,36.1742,1037.475
-3.2288,37.0425,1034.568999
-3.7451,37.6006,1025.872554
-3.3830,36.9364,1025.591843
-9.1851,32.7278,1023.846667
-8.5552,32.0532,1020.729167
-3.2382,37.1392,1020.062344
-7.6943,31.1100,1015.75
-7.6164,35.9589,1011.92761
-3.3189,35.7189,1011.396431
-3.8505,35.4733,1006.960471
-7.4581,35.7778,1004.515867
-9.1715,32.7320,1000.323014
-3.4471,37.4052,997.88801
-3.8502,35.4738,996.5210385
-3.4569,36.8497,996.2863458
-3.2359,37.0863,994.1331231
-3.4470,36.9136,982.3253248
-7.4887,35.7573,981.8935426
-8.5211,32.0253,981.6666667
-8.5556,32.0527,971.7925926
-8.5557,32.0529,969.375
-4.4016,35.5500,966.9316889
-3.8507,35.4733,964.8147021
